Pilot_True,2937,0,Pilot_True,376,0,,,,,,,,
Pilot_False,0,0,Pilot_False,0,62,,,,,,,,
Routine,6156,907,Routine,8174,1388,,,,,,,,
design,6,0.03,design,6,0.09,,,,,,,,
rate,17.2354,6,rate,83.5152,8,,,,,,,,
Pilot_True,8032,0,Pilot_True,1432,0,,,,,,,,
Pilot_False,0,0,Pilot_False,0,6,,,,,,,,
Routine,1738,230,Routine,7617,945,,,,,,,,
design,12,0.03,design,12,0.09,,,,,,,,
rate,15.1334,6,rate,78.9514,8,,,,,,,,
,,,Pilot_True,3781,0,,,,,,,,
Pilot_True,9617,0,Pilot_False,0,1,,,,,,,,
Pilot_False,0,0,Routine,5579,639,,,,,,,,
Routine,338,45,design,18,0.09,,,,,,,,
design,18,0.03,rate,67.4254,8,,,,,,,,
rate,18.5834,6,Pilot_True,5990,0,,"delta=0,method=6",Pilot_size=12,,Pilot_size=18,,Pilot_size=24,
Pilot_True,9922,0,Pilot_False,0,0,,,Consume_size=17.2354,,Consume_size=15.1334,,Consume_size=18.5834,
Pilot_False,0,0,Routine,3577,433,,Pilot_True,2937,0,8032,0,9617,0
Routine,71,7,design,24,0.09,,Pilot_False,0,0,0,0,0,0
design,24,0.03,rate,57.5594,8,,Routine,6156,907,1738,230,338,45
rate,24.113,6,Pilot_True,212,0,,design,sigma^2=0.03,,sigma^2=0.03,,sigma^2=0.03,
Pilot_True,2974,0,Pilot_False,0,83,,*,*,*,*,*,*,*
Pilot_False,0,1,Routine,6157,3548,,"delta=0,method=8",Pilot_size=12,,Pilot_size=18,,Pilot_size=24,
Routine,6576,449,design,6,0.12,,,Consume_size=17.2354,,Consume_size=17.2354,,Consume_size=17.2354,
design,6,0.03,rate,49.6558,6,,Pilot_True,,,,,,
rate,36.1438,8,Pilot_True,632,0,,Pilot_False,,,,,,
Pilot_True,8020,0,Pilot_False,0,16,,Routine,,,,,,
Pilot_False,0,0,Routine,6810,2542,,design,sigma^2=0.06,,sigma^2=0.06,,sigma^2=0.06,
Routine,1839,141,design,12,0.12,,,,,,,,
design,12,0.03,rate,53.7664,6,,"delta=0,method=6",Pilot_size=12,,Pilot_size=18,,Pilot_size=24,
rate,21.757,8,Pilot_True,1976,0,,,Consume_size=17.2354,,Consume_size=15.1334,,Consume_size=18.5834,
Pilot_True,9594,0,Pilot_False,0,7,,Pilot_True,2937,0,8032,0,9617,0
Pilot_False,0,0,Routine,6225,1792,,Pilot_False,0,0,0,0,0,0
Routine,375,31,design,18,0.12,,Routine,6156,907,1738,230,338,45
design,18,0.03,rate,54.5416,6,,design,sigma^2=0.03,,sigma^2=0.03,,sigma^2=0.03,
rate,20.5398,8,Pilot_True,3927,0,,*,*,*,*,*,*,*
Pilot_True,9930,0,Pilot_False,0,2,,"delta=0,method=8",Pilot_size=12,,Pilot_size=18,,Pilot_size=24,
Pilot_False,0,0,Routine,4761,1310,,,Consume_size=17.2354,,Consume_size=17.2354,,Consume_size=17.2354,
Routine,63,7,design,24,0.12,,Pilot_True,,,,,,
design,24,0.03,rate,51.8834,6,,Pilot_False,,,,,,
rate,24.502,8,Pilot_True,182,0,,Routine,,,,,,
Pilot_True,881,0,Pilot_False,0,80,,design,sigma^2=0.06,,sigma^2=0.06,,sigma^2=0.06,
Pilot_False,0,24,Routine,8363,1375,,,,,,,,
Routine,6337,2758,design,6,0.12,,"delta=0,method=6",Pilot_size=12,,Pilot_size=18,,Pilot_size=24,
design,6,0.06,rate,94.6174,8,,,Consume_size=17.2354,,Consume_size=15.1334,,Consume_size=18.5834,
rate,28.2632,6,Pilot_True,672,0,,Pilot_True,2937,0,8032,0,9617,0
Pilot_True,3454,0,Pilot_False,0,16,,Pilot_False,0,0,0,0,0,0
Pilot_False,0,1,Routine,8314,998,,Routine,6156,907,1738,230,338,45
Routine,5172,1373,design,12,0.12,,design,sigma^2=0.03,,sigma^2=0.03,,sigma^2=0.03,
design,12,0.06,rate,93.93,8,,*,*,*,*,*,*,*
rate,28.37,6,Pilot_True,2039,0,,"delta=0,method=8",Pilot_size=12,,Pilot_size=18,,Pilot_size=24,
Pilot_True,6688,0,Pilot_False,0,3,,,Consume_size=17.2354,,Consume_size=17.2354,,Consume_size=17.2354,
Pilot_False,0,0,Routine,7188,770,,Pilot_True,,,,,,
