"Pilot_True",1791,0
"Pilot_False",0,45
"Routine",4103,4061
"design",6,0.03
"rate",18.5968,6
"Pilot_True",4242,0
"Pilot_False",0,7
"Routine",2817,2934
"design",12,0.03
"rate",20.363,6
"Pilot_True",5796,0
"Pilot_False",0,2
"Routine",2018,2184
"design",18,0.03
"rate",23.8788,6
"Pilot_True",6912,0
"Pilot_False",0,0
"Routine",1468,1620
"design",24,0.03
"rate",28.2568,6
"Pilot_True",1884,0
"Pilot_False",0,38
"Routine",7254,824
"design",6,0.03
"rate",70.3882,8
"Pilot_True",4229,0
"Pilot_False",0,11
"Routine",5688,72
"design",12,0.03
"rate",70.2126,8
"Pilot_True",5790,0
"Pilot_False",0,1
"Routine",4198,11
"design",18,0.03
"rate",65.6378,8
"Pilot_True",6964,0
"Pilot_False",0,0
"Routine",3034,2
"design",24,0.03
"rate",60.5734,8
"Pilot_True",638,0
"Pilot_False",0,93
"Routine",3803,5466
"design",6,0.06
"rate",28.5324,6
"Pilot_True",2221,0
"Pilot_False",0,35
"Routine",3384,4360
"design",12,0.06
"rate",30.4634,6
"Pilot_True",3525,0
"Pilot_False",0,14
"Routine",2744,3717
"design",18,0.06
"rate",33.0286,6
"Pilot_True",4502,0
"Pilot_False",0,7
"Routine",2432,3059
"design",24,0.06
"rate",36.7562,6
"Pilot_True",660,0
"Pilot_False",0,94
"Routine",7388,1858
"design",6,0.06
"rate",85.5808,8
"Pilot_True",2063,0
"Pilot_False",0,44
"Routine",7086,807
"design",12,0.06
"rate",92.1914,8
"Pilot_True",3477,0
"Pilot_False",0,18
"Routine",6153,352
"design",18,0.06
"rate",92.3508,8
"Pilot_True",4592,0
"Pilot_False",0,6
"Routine",5252,150
"design",24,0.06
"rate",89.2332,8
"Pilot_True",290,0
"Pilot_False",0,155
"Routine",3686,5869
"design",6,0.09
"rate",38.4762,6
"Pilot_True",980,0
"Pilot_False",0,50
"Routine",3761,5209
"design",12,0.09
"rate",42.3348,6
"Pilot_True",2221,0
"Pilot_False",0,40
"Routine",3279,4460
"design",18,0.09
"rate",44.3416,6
"Pilot_True",3234,0
"Pilot_False",0,16
"Routine",2912,3838
"design",24,0.09
"rate",46.536,6
"Pilot_True",301,0
"Pilot_False",0,139
"Routine",7000,2560
"design",6,0.09
"rate",94.9416,8
"Pilot_True",916,0
"Pilot_False",0,67
"Routine",7179,1838
"design",12,0.09
"rate",102.6866,8
"Pilot_True",2325,0
"Pilot_False",0,37
"Routine",6481,1157
"design",18,0.09
"rate",103.4108,8
"Pilot_True",3291,0
"Pilot_False",0,13
"Routine",5878,818
"design",24,0.09
"rate",103.7838,8
"Pilot_True",187,0
"Pilot_False",0,200
"Routine",3691,5922
"design",6,0.12
"rate",49.0048,6
"Pilot_True",447,0
"Pilot_False",0,97
"Routine",3882,5574
"design",12,0.12
"rate",54.022,6
"Pilot_True",1292,0
"Pilot_False",0,53
"Routine",3599,5056
"design",18,0.12
"rate",56.462,6
"Pilot_True",2383,0
"Pilot_False",0,33
"Routine",3233,4351
"design",24,0.12
"rate",57.4736,6
"Pilot_True",173,0
"Pilot_False",0,206
"Routine",6612,3009
"design",6,0.12
"rate",101.244,8
"Pilot_True",489,0
"Pilot_False",0,78
"Routine",6684,2749
"design",12,0.12
"rate",109.1142,8
"Pilot_True",1337,0
"Pilot_False",0,52
"Routine",6450,2161
"design",18,0.12
"rate",112.9074,8
"Pilot_True",2318,0
"Pilot_False",0,39
"Routine",5978,1665
"design",24,0.12
"rate",113.3192,8
"Pilot_True",85,0
"Pilot_False",0,238
"Routine",3620,6057
"design",6,0.15
"rate",59.0576,6
"Pilot_True",257,0
"Pilot_False",0,101
"Routine",3946,5696
"design",12,0.15
"rate",65.4114,6
"Pilot_True",704,0
"Pilot_False",0,81
"Routine",3845,5370
"design",18,0.15
"rate",69.2034,6
"Pilot_True",1526,0
"Pilot_False",0,46
"Routine",3618,4810
"design",24,0.15
"rate",71.1994,6
"Pilot_True",135,0
"Pilot_False",0,206
"Routine",6045,3614
"design",6,0.15
"rate",105.8776,8
"Pilot_True",216,0
"Pilot_False",0,112
"Routine",6382,3290
"design",12,0.15
"rate",115.1684,8
"Pilot_True",708,0
"Pilot_False",0,70
"Routine",6201,3021
"design",18,0.15
"rate",120.1374,8
"Pilot_True",1526,0
"Pilot_False",0,48
"Routine",5848,2578
"design",24,0.15
"rate",121.1968,8
