"G_Pilot_True",88,114
"G_Pilot_False",71,325
"G_Not_Sure",2996,6406
"CP_Pilot_True",161,208
"CP_Pilot_False",106,607
"CP_Not_Sure",2888,6030
"design",26,0.12
"G_Pilot_True",302,69
"G_Pilot_False",84,142
"G_Not_Sure",6256,3147
"CP_Pilot_True",624,160
"CP_Pilot_False",155,255
"CP_Not_Sure",5863,2943
"design",34,0.12
"G_Pilot_True",500,74
"G_Pilot_False",84,137
"G_Not_Sure",7096,2109
"CP_Pilot_True",1035,147
"CP_Pilot_False",192,267
"CP_Not_Sure",6453,1906
"design",40,0.12
"G_Pilot_True",532,47
"G_Pilot_False",131,101
"G_Not_Sure",7586,1603
"CP_Pilot_True",1028,95
"CP_Pilot_False",304,235
"CP_Not_Sure",6917,1421
"design",46,0.12
"G_Pilot_True",808,43
"G_Pilot_False",104,89
"G_Not_Sure",7817,1139
"CP_Pilot_True",1374,84
"CP_Pilot_False",323,213
"CP_Not_Sure",7032,974
"design",52,0.12
"G_Pilot_True",107,50
"G_Pilot_False",109,189
"G_Not_Sure",5338,4207
"CP_Pilot_True",294,136
"CP_Pilot_False",175,345
"CP_Not_Sure",5085,3965
"design",38,0.16
"G_Pilot_True",277,44
"G_Pilot_False",106,130
"G_Not_Sure",7140,2303
"CP_Pilot_True",733,119
"CP_Pilot_False",202,250
"CP_Not_Sure",6588,2108
"design",50,0.16
"G_Pilot_True",455,47
"G_Pilot_False",106,90
"G_Not_Sure",7672,1630
"CP_Pilot_True",1069,107
"CP_Pilot_False",252,207
"CP_Not_Sure",6912,1453
"design",58,0.16
"G_Pilot_True",689,61
"G_Pilot_False",118,77
"G_Not_Sure",7869,1186
"CP_Pilot_True",1342,117
"CP_Pilot_False",305,168
"CP_Not_Sure",7029,1039
"design",66,0.16
"G_Pilot_True",1382,64
"G_Pilot_False",82,57
"G_Not_Sure",7605,810
"CP_Pilot_True",2077,108
"CP_Pilot_False",276,147
"CP_Not_Sure",6716,676
"design",74,0.16
"G_Pilot_True",53,32
"G_Pilot_False",99,225
"G_Not_Sure",5121,4470
"CP_Pilot_True",197,115
"CP_Pilot_False",140,370
"CP_Not_Sure",4936,4242
"design",44,0.2
"G_Pilot_True",168,31
"G_Pilot_False",87,141
"G_Not_Sure",6941,2632
"CP_Pilot_True",542,118
"CP_Pilot_False",180,274
"CP_Not_Sure",6474,2412
"design",58,0.2
"G_Pilot_True",431,42
"G_Pilot_False",94,94
"G_Not_Sure",7526,1813
"CP_Pilot_True",1100,127
"CP_Pilot_False",217,212
"CP_Not_Sure",6734,1610
"design",68,0.2
"G_Pilot_True",544,34
"G_Pilot_False",122,94
"G_Not_Sure",7888,1318
"CP_Pilot_True",1306,85
"CP_Pilot_False",298,184
"CP_Not_Sure",6950,1177
"design",78,0.2
"G_Pilot_True",1100,41
"G_Pilot_False",98,66
"G_Not_Sure",7786,909
"CP_Pilot_True",1887,89
"CP_Pilot_False",298,155
"CP_Not_Sure",6799,772
"design",88,0.2
"G_Pilot_True",58,21
"G_Pilot_False",76,194
"G_Not_Sure",5661,3990
"CP_Pilot_True",330,125
"CP_Pilot_False",113,322
"CP_Not_Sure",5352,3758
"design",54,0.24
