"G_Pilot_True",3139,353
"G_Pilot_False",93,183
"G_Not_Sure",4383,1849
"CP_Pilot_True",2507,230
"CP_Pilot_False",287,548
"CP_Not_Sure",4821,1607
"design",12,0.02
"G_Pilot_True",3301,281
"G_Pilot_False",119,174
"G_Not_Sure",4654,1471
"CP_Pilot_True",2585,170
"CP_Pilot_False",446,567
"CP_Not_Sure",5043,1189
"design",14,0.02
"G_Pilot_True",4792,146
"G_Pilot_False",141,110
"G_Not_Sure",4071,740
"CP_Pilot_True",3017,56
"CP_Pilot_False",748,415
"CP_Not_Sure",5239,525
"design",16,0.02
"G_Pilot_True",4767,133
"G_Pilot_False",168,102
"G_Not_Sure",4057,773
"CP_Pilot_True",2969,48
"CP_Pilot_False",757,402
"CP_Not_Sure",5266,558
"design",16,0.02
"G_Pilot_True",6070,54
"G_Pilot_False",168,65
"G_Not_Sure",3390,253
"CP_Pilot_True",2819,9
"CP_Pilot_False",1208,218
"CP_Not_Sure",5601,145
"design",20,0.02
"G_Pilot_True",993,427
"G_Pilot_False",36,298
"G_Not_Sure",3589,4657
"CP_Pilot_True",1291,571
"CP_Pilot_False",48,501
"CP_Not_Sure",3279,4310
"design",12,0.04
"G_Pilot_True",1020,440
"G_Pilot_False",49,315
"G_Not_Sure",3892,4284
"CP_Pilot_True",1234,523
"CP_Pilot_False",80,592
"CP_Not_Sure",3647,3924
"design",14,0.04
"G_Pilot_True",1925,375
"G_Pilot_False",63,265
"G_Not_Sure",4465,2907
"CP_Pilot_True",2155,396
"CP_Pilot_False",132,586
"CP_Not_Sure",4166,2565
"design",16,0.04
"G_Pilot_True",2007,416
"G_Pilot_False",76,273
"G_Not_Sure",4306,2922
"CP_Pilot_True",2148,464
"CP_Pilot_False",126,537
"CP_Not_Sure",4115,2610
"design",16,0.04
"G_Pilot_True",3076,279
"G_Pilot_False",91,213
"G_Not_Sure",4467,1874
"CP_Pilot_True",2872,238
"CP_Pilot_False",249,515
"CP_Not_Sure",4513,1613
"design",20,0.04
"G_Pilot_True",388,326
"G_Pilot_False",27,365
"G_Not_Sure",2512,6382
"CP_Pilot_True",659,590
"CP_Pilot_False",27,517
"CP_Not_Sure",2241,5966
"design",12,0.06
"G_Pilot_True",414,337
"G_Pilot_False",32,352
"G_Not_Sure",2801,6064
"CP_Pilot_True",616,540
"CP_Pilot_False",36,570
"CP_Not_Sure",2595,5643
"design",14,0.06
"G_Pilot_True",827,370
"G_Pilot_False",35,340
"G_Not_Sure",3881,4547
"CP_Pilot_True",1228,550
"CP_Pilot_False",45,521
"CP_Not_Sure",3470,4186
"design",16,0.06
"G_Pilot_True",822,364
"G_Pilot_False",51,303
"G_Not_Sure",4038,4422
"CP_Pilot_True",1251,594
"CP_Pilot_False",63,493
"CP_Not_Sure",3597,4002
"design",16,0.06
"G_Pilot_True",1473,386
"G_Pilot_False",40,275
"G_Not_Sure",4565,3261
"CP_Pilot_True",1924,500
"CP_Pilot_False",63,453
"CP_Not_Sure",4091,2969
"design",20,0.06
"G_Pilot_True",359,251
"G_Pilot_False",32,356
"G_Not_Sure",3179,5823
"CP_Pilot_True",741,529
"CP_Pilot_False",36,469
"CP_Not_Sure",2793,5432
"design",16,0.08
"G_Pilot_True",392,250
"G_Pilot_False",37,345
"G_Not_Sure",3643,5333
"CP_Pilot_True",769,498
"CP_Pilot_False",45,500
"CP_Not_Sure",3258,4930
"design",18,0.08
"G_Pilot_True",729,270
"G_Pilot_False",29,308
"G_Not_Sure",4110,4554
"CP_Pilot_True",1276,538
"CP_Pilot_False",48,456
"CP_Not_Sure",3544,4138
"design",20,0.08
"G_Pilot_True",726,281
"G_Pilot_False",49,301
"G_Not_Sure",4324,4319
"CP_Pilot_True",1218,505
"CP_Pilot_False",61,461
"CP_Not_Sure",3820,3935
"design",22,0.08
"G_Pilot_True",1188,324
"G_Pilot_False",53,274
"G_Not_Sure",4810,3351
"CP_Pilot_True",1779,490
"CP_Pilot_False",96,472
"CP_Not_Sure",4176,2987
"design",26,0.08
"G_Pilot_True",348,214
"G_Pilot_False",36,358
"G_Not_Sure",3527,5517
"CP_Pilot_True",806,604
