"G_Pilot_True",4476,82
"G_Pilot_False",47,30
"G_Not_Sure",4937,428
"CP_Pilot_True",4799,92
"CP_Pilot_False",186,100
"CP_Not_Sure",4475,348
"design",12,0.02
"G_Pilot_True",6737,13
"G_Pilot_False",55,7
"G_Not_Sure",3117,71
"CP_Pilot_True",6807,13
"CP_Pilot_False",263,26
"CP_Not_Sure",2839,52
"design",16,0.02
"G_Pilot_True",6730,9
"G_Pilot_False",49,6
"G_Not_Sure",3157,49
"CP_Pilot_True",6810,9
"CP_Pilot_False",379,28
"CP_Not_Sure",2747,27
"design",18,0.02
"G_Pilot_True",8073,4
"G_Pilot_False",37,1
"G_Not_Sure",1877,8
"CP_Pilot_True",8076,4
"CP_Pilot_False",397,7
"CP_Not_Sure",1514,2
"design",20,0.02
"G_Pilot_True",8110,0
"G_Pilot_False",42,0
"G_Not_Sure",1842,6
"CP_Pilot_True",8114,0
"CP_Pilot_False",443,2
"CP_Not_Sure",1437,4
"design",22,0.02
"G_Pilot_True",1413,307
"G_Pilot_False",56,143
"G_Not_Sure",5196,2885
"CP_Pilot_True",1884,428
"CP_Pilot_False",65,244
"CP_Not_Sure",4716,2663
"design",12,0.04
"G_Pilot_True",2776,141
"G_Pilot_False",56,75
"G_Not_Sure",5848,1104
"CP_Pilot_True",3357,184
"CP_Pilot_False",116,166
"CP_Not_Sure",5207,970
"design",16,0.04
"G_Pilot_True",2868,122
"G_Pilot_False",74,63
"G_Not_Sure",5933,940
"CP_Pilot_True",3372,159
"CP_Pilot_False",165,154
"CP_Not_Sure",5338,812
"design",18,0.04
"G_Pilot_True",4332,76
"G_Pilot_False",68,43
"G_Not_Sure",4978,503
"CP_Pilot_True",4660,83
"CP_Pilot_False",183,118
"CP_Not_Sure",4535,421
"design",20,0.04
"G_Pilot_True",4322,54
"G_Pilot_False",85,29
"G_Not_Sure",5168,342
"CP_Pilot_True",4584,57
"CP_Pilot_False",229,88
"CP_Not_Sure",4762,280
"design",22,0.04
"G_Pilot_True",536,298
"G_Pilot_False",43,200
"G_Not_Sure",3515,5408
"CP_Pilot_True",885,552
"CP_Pilot_False",43,293
"CP_Not_Sure",3166,5061
"design",12,0.06
"G_Pilot_True",1207,211
"G_Pilot_False",59,137
"G_Not_Sure",5528,2858
"CP_Pilot_True",1881,369
"CP_Pilot_False",74,225
"CP_Not_Sure",4839,2612
"design",16,0.06
"G_Pilot_True",1179,192
"G_Pilot_False",54,117
"G_Not_Sure",5969,2489
"CP_Pilot_True",1775,311
"CP_Pilot_False",81,222
"CP_Not_Sure",5346,2265
"design",18,0.06
"G_Pilot_True",2064,186
"G_Pilot_False",50,93
"G_Not_Sure",6080,1527
"CP_Pilot_True",2818,254
"CP_Pilot_False",82,165
"CP_Not_Sure",5294,1387
"design",20,0.06
"G_Pilot_True",2119,163
"G_Pilot_False",57,87
"G_Not_Sure",6254,1320
"CP_Pilot_True",2838,233
"CP_Pilot_False",114,162
"CP_Not_Sure",5478,1175
"design",22,0.06
"G_Pilot_True",545,194
"G_Pilot_False",35,188
"G_Not_Sure",4466,4572
"CP_Pilot_True",1056,452
"CP_Pilot_False",37,247
"CP_Not_Sure",3953,4255
"design",16,0.08
"G_Pilot_True",955,182
"G_Pilot_False",45,134
"G_Not_Sure",5814,2870
"CP_Pilot_True",1714,374
"CP_Pilot_False",60,200
"CP_Not_Sure",5040,2612
"design",20,0.08
"G_Pilot_True",1622,145
"G_Pilot_False",46,114
"G_Not_Sure",6177,1896
"CP_Pilot_True",2508,264
"CP_Pilot_False",84,174
"CP_Not_Sure",5253,1717
"design",24,0.08
"G_Pilot_True",1645,140
"G_Pilot_False",77,98
"G_Not_Sure",6418,1622
"CP_Pilot_True",2444,240
"CP_Pilot_False",110,192
"CP_Not_Sure",5586,1428
"design",26,0.08
"G_Pilot_True",2458,127
"G_Pilot_False",66,76
"G_Not_Sure",6187,1086
"CP_Pilot_True",3138,172
"CP_Pilot_False",119,145
"CP_Not_Sure",5454,972
"design",30,0.08
"G_Pilot_True",457,144
"G_Pilot_False",39,215
"G_Not_Sure",4976,4169
"CP_Pilot_True",1115,431
"CP_Pilot_False",43,269
"CP_Not_Sure",4314,3828
"design",20,0.1
"G_Pilot_True",869,145
"G_Pilot_False",51,146
"G_Not_Sure",6204,2585
"CP_Pilot_True",1709,333
"CP_Pilot_False",70,227
"CP_Not_Sure",5345,2316
"design",26,0.1
"G_Pilot_True",1410,159
"G_Pilot_False",50,93
"G_Not_Sure",6389,1899
"CP_Pilot_True",2376,281
"CP_Pilot_False",73,156
"CP_Not_Sure",5400,1714
"design",30,0.1
"G_Pilot_True",2032,134
"G_Pilot_False",65,89
"G_Not_Sure",6326,1354
"CP_Pilot_True",2885,220
"CP_Pilot_False",108,157
"CP_Not_Sure",5430,1200
"design",34,0.1
"G_Pilot_True",2725,111
"G_Pilot_False",60,75
"G_Not_Sure",6096,933
"CP_Pilot_True",3361,145
"CP_Pilot_False",122,138
"CP_Not_Sure",5398,836
"design",38,0.1
"G_Pilot_True",250,129
"G_Pilot_False",51,213
"G_Not_Sure",4421,4936
"CP_Pilot_True",743,399
"CP_Pilot_False",53,280
"CP_Not_Sure",3926,4599
"design",22,0.12
"G_Pilot_True",800,132
"G_Pilot_False",54,128
"G_Not_Sure",6196,2690
"CP_Pilot_True",1652,327
"CP_Pilot_False",80,186
"CP_Not_Sure",5318,2437
"design",30,0.12
"G_Pilot_True",1203,155
"G_Pilot_False",60,109
"G_Not_Sure",6466,2007
"CP_Pilot_True",2224,295
"CP_Pilot_False",87,173
"CP_Not_Sure",5418,1803
"design",34,0.12
