G_Pilot_True,115,102,,,,,,,,
G_Pilot_False,65,247,,,,,,,,
G_Not_Sure,3316,6155,,,,,,,,
CP_Pilot_True,172,176,,,,,,,,
CP_Pilot_False,98,477,,,,,,,,
CP_Not_Sure,3226,5851,,,,,,,,
design,26,0.12,,,,,,,,
G_Pilot_True,192,69,,,,,,,,
G_Pilot_False,109,152,,,,,,,,
G_Not_Sure,5846,3632,,,,,,,,
CP_Pilot_True,401,138,,,,,,,,
CP_Pilot_False,168,293,,,,,,,,
CP_Not_Sure,5578,3422,,,,,,,,
design,30,0.12,,,,,,,,
G_Pilot_True,323,73,,,,,,,,
G_Pilot_False,117,97,,,,,,,,
G_Not_Sure,7004,2386,,,,,,,,
CP_Pilot_True,708,146,,,,,,,,
CP_Pilot_False,211,205,,,,,,,,
CP_Not_Sure,6525,2205,,,,,,,,
design,34,0.12,,,,,,,,
G_Pilot_True,330,55,,,,,,,,
G_Pilot_False,101,83,,,,,,,,
G_Not_Sure,7556,1875,,,,,,,,
CP_Pilot_True,671,124,,,,,,,,
CP_Pilot_False,240,169,,,,,,,,
CP_Not_Sure,7076,1720,,,,,,,,
design,38,0.12,,,,,,,,
G_Pilot_True,581,29,,,,,,,,
G_Pilot_False,106,41,,,,,,,,
G_Not_Sure,8328,915,,,,,,,,
CP_Pilot_True,1105,56,,,,,,,,
CP_Pilot_False,296,101,,,,,,,,
CP_Not_Sure,7614,828,,,,,,,,
design,46,0.12,,,,,,,,
G_Pilot_True,109,46,,,,,,,,
G_Pilot_False,104,188,,,,,,,,
G_Not_Sure,5976,3577,,,,,,,,
CP_Pilot_True,314,125,,,,,,,,
CP_Pilot_False,174,321,,,,,,,,
CP_Not_Sure,5701,3365,,,,,,,,
design,38,0.16,,,,,,,,
G_Pilot_True,181,35,,,,,,,,
G_Pilot_False,109,128,,,,,,,,
G_Not_Sure,6898,2649,,,,,,,,
CP_Pilot_True,505,101,,,,,,,,
CP_Pilot_False,171,211,,,,,,,,
CP_Not_Sure,6512,2500,,,,,,,,
design,42,0.16,,,,,,,,
G_Pilot_True,295,36,,,,,,,,
G_Pilot_False,111,69,,,,,,,,
G_Not_Sure,7864,1625,,,,,,,,
CP_Pilot_True,786,109,,,,,,,,
CP_Pilot_False,228,135,,,,,,,,
CP_Not_Sure,7256,1486,,,,,,,,
design,50,0.16,,,,,,,,
G_Pilot_True,475,43,,,,,,,,
G_Pilot_False,107,67,,,,,,,,
G_Not_Sure,8177,1131,,,,,,,,
CP_Pilot_True,1151,88,,,,,,,,
CP_Pilot_False,216,126,,,,,,,,
CP_Not_Sure,7392,1027,,,,,,,,
design,54,0.16,,,,,,,,
G_Pilot_True,788,20,,,,,,,,
G_Pilot_False,100,32,,,,,,,,
G_Not_Sure,8516,544,,,,,,,,
CP_Pilot_True,1493,50,,,,,,,,
CP_Pilot_False,288,65,,,,,,,,
CP_Not_Sure,7623,481,,,,,,,,
design,66,0.16,,,,,,,,
G_Pilot_True,66,34,,,,,,,,
G_Pilot_False,87,161,,,,,,,,
G_Not_Sure,5704,3948,,,,,,,,
CP_Pilot_True,281,108,,,,,,,,
CP_Pilot_False,147,290,,,,,,,,
CP_Not_Sure,5429,3745,,,,,,,,
design,44,0.2,,,,,,,,
G_Pilot_True,104,32,,delta=0,sample_size=64,,sample_size=58,,sample_size=50,
G_Pilot_False,103,116,,,sigma^2=0.2,,sigma^2=0.2,,sigma^2=0.16,
G_Not_Sure,6887,2758,,G_Pilot_True,270,26,181,30,295,36
CP_Pilot_True,419,114,,G_Pilot_False,119,73,128,87,111,69
CP_Pilot_False,189,200,,G_Not_Sure,8087,1425,7610,1964,7864,1625
CP_Not_Sure,6486,2592,,CP_Pilot_True,885,91,578,93,786,109
design,50,0.2,,CP_Pilot_False,219,150,225,157,228,135
G_Pilot_True,181,30,,CP_Not_Sure,7372,1283,7116,1831,7256,1486
G_Pilot_False,128,87,,*,*,*,*,*,*,*
G_Not_Sure,7610,1964,,delta=0,sample_size=34,,sample_size=38,,sample_size=46,
CP_Pilot_True,578,93,,,sigma^2=0.12,,sigma^2=0.12,,sigma^2=0.12,
CP_Pilot_False,225,157,,G_Pilot_True,323,73,330,55,581,29
CP_Not_Sure,7116,1831,,G_Pilot_False,117,97,101,83,106,41
design,58,0.2,,G_Not_Sure,7004,2386,7556,1875,8328,915
G_Pilot_True,270,26,,CP_Pilot_True,708,146,771,124,1105,56
G_Pilot_False,119,73,,CP_Pilot_False,211,205,190,169,296,101
G_Not_Sure,8087,1425,,CP_Not_Sure,6525,2205,7126,1620,7814,628
CP_Pilot_True,885,91,,*,*,*,*,*,*,*
CP_Pilot_False,219,150,,delta=0,sample_size=62,,sample_size=70,,sample_size=110,
CP_Not_Sure,7372,1283,,,sigma^2=0.28,,sigma^2=0.28,,sigma^2=0.28,
design,64,0.2,,G_Pilot_True,48,17,72,24,629,16
G_Pilot_True,656,27,,G_Pilot_False,89,144,107,109,93,33
G_Pilot_False,92,44,,G_Not_Sure,6320,3382,7057,2631,8594,635
G_Not_Sure,8507,674,,CP_Pilot_True,295,111,419,104,1671,71
CP_Pilot_True,1469,71,,CP_Pilot_False,149,221,177,200,240,88
CP_Pilot_False,273,101,,CP_Not_Sure,6013,3211,6640,2460,7405,525
CP_Not_Sure,7513,573,,*,*,*,*,*,*,*
design,78,0.2,,delta=0,sample_size=102,,sample_size=122,,sample_size=132,
G_Pilot_True,58,25,,,sigma^2=0.36,,sigma^2=0.36,,sigma^2=0.36,
G_Pilot_False,91,149,,G_Pilot_True,98,11,280,16,425,15
G_Not_Sure,6237,3440,,G_Pilot_False,96,76,106,39,102,45
CP_Pilot_True,348,122,,G_Not_Sure,8037,1682,8630,929,8677,736
CP_Pilot_False,150,244,,CP_Pilot_True,694,84,1319,89,1504,73
CP_Not_Sure,5888,3248,,CP_Pilot_False,195,152,249,88,261,91
design,54,0.24,,CP_Not_Sure,7342,1533,7448,807,7439,632
G_Pilot_True,97,27,,*,*,*,*,*,*,*
G_Pilot_False,88,116,,,,,,,,
G_Not_Sure,7094,2578,,,,,,,,
CP_Pilot_True,515,123,,,,,,,,
CP_Pilot_False,167,198,,,,,,,,
CP_Not_Sure,6597,2400,,,,,,,,
design,60,0.24,,,,,,,,
G_Pilot_True,178,20,,,,,,,,
G_Pilot_False,113,106,,,,,,,,
G_Not_Sure,7877,1706,,,,,,,,
CP_Pilot_True,710,98,,,,,,,,
CP_Pilot_False,215,165,,,,,,,,
CP_Not_Sure,7243,1569,,,,,,,,
design,70,0.24,,,,,,,,
G_Pilot_True,284,30,,,,,,,,
G_Pilot_False,112,74,,,,,,,,
G_Not_Sure,8156,1344,,,,,,,,
CP_Pilot_True,956,102,,,,,,,,
CP_Pilot_False,227,143,,,,,,,,
CP_Not_Sure,7369,1203,,,,,,,,
design,76,0.24,,,,,,,,
G_Pilot_True,761,18,,,,,,,,
G_Pilot_False,83,41,,,,,,,,
G_Not_Sure,8475,622,,,,,,,,
CP_Pilot_True,1792,55,,,,,,,,
CP_Pilot_False,239,90,,,,,,,,
CP_Not_Sure,7288,536,,,,,,,,
design,94,0.24,,,,,,,,
G_Pilot_True,48,17,,,,,,,,
G_Pilot_False,89,144,,,,,,,,
G_Not_Sure,6320,3382,,,,,,,,
CP_Pilot_True,295,111,,,,,,,,
CP_Pilot_False,149,221,,,,,,,,
CP_Not_Sure,6013,3211,,,,,,,,
design,62,0.28,,,,,,,,
G_Pilot_True,72,24,,,,,,,,
G_Pilot_False,107,109,,,,,,,,
G_Not_Sure,7057,2631,,,,,,,,
CP_Pilot_True,419,104,,,,,,,,
CP_Pilot_False,177,200,,,,,,,,
